Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2020-03-20,2020,3,20,Friday,11,2020-11,4.95,5.33,4.86,4.9,470000,4.9,0.008230444599618192,6.515714285714287,7.7896
2020-03-23,2020,3,23,Monday,12,2020-12,4.81,5.26,4.66,5.21,240600,5.21,0.06326529321348828,6.335714285714286,7.737800000000001
2020-03-24,2020,3,24,Tuesday,12,2020-12,5.43,5.69,5.01,5.47,442800,5.47,0.04990398275258956,6.109285714285714,7.6908
2020-03-25,2020,3,25,Wednesday,12,2020-12,5.48,5.77,5.25,5.52,253000,5.52,0.009140803044365597,5.895714285714285,7.648199999999999
2020-03-26,2020,3,26,Thursday,12,2020-12,5.55,6.14,5.39,6.04,250900,6.04,0.094202895420886,5.7250000000000005,7.6152
2020-03-27,2020,3,27,Friday,12,2020-12,5.88,6.36,5.58,6.25,324500,6.25,0.034768218455840216,5.6571428571428575,7.5784
2020-03-30,2020,3,30,Monday,13,2020-13,6.3,6.54,6.23,6.4,350800,6.4,0.024000015258789142,5.595714285714286,7.525200000000001
2020-03-31,2020,3,31,Tuesday,13,2020-13,6.35,6.49,5.84,6.02,318800,6.02,-0.05937501699663672,5.571428571428571,7.478400000000001
2020-04-01,2020,4,1,Wednesday,13,2020-13,5.85,5.89,5.4,5.59,415400,5.59,-0.07142854313970337,5.58,7.4188
2020-04-02,2020,4,2,Thursday,13,2020-13,5.56,5.77,5.45,5.69,353000,5.69,0.017889070107855565,5.535714285714286,7.364
2020-04-03,2020,4,3,Friday,13,2020-13,5.61,5.75,5.17,5.31,472900,5.31,-0.06678385072399218,5.542857142857144,7.300599999999999
2020-04-06,2020,4,6,Monday,14,2020-14,5.57,5.85,5.53,5.7,299900,5.7,0.07344630333111613,5.537857142857143,7.2543999999999995
2020-04-07,2020,4,7,Tuesday,14,2020-14,5.76,5.82,5.43,5.5,354500,5.5,-0.03508768701010212,5.604285714285714,7.200799999999999
2020-04-08,2020,4,8,Wednesday,14,2020-14,5.58,5.8,5.44,5.72,227700,5.72,0.039999961853027344,5.6657142857142855,7.1453999999999995
2020-04-09,2020,4,9,Thursday,14,2020-14,5.82,6.14,5.76,5.85,269600,5.85,0.02272729356805847,5.7335714285714285,7.101400000000001
2020-04-13,2020,4,13,Monday,15,2020-15,5.81,6.07,5.8,5.89,182800,5.89,0.006837600428224233,5.7821428571428575,7.0582
2020-04-14,2020,4,14,Tuesday,15,2020-15,5.91,6.6,5.85,6.49,267500,6.49,0.10186755827391414,5.8549999999999995,7.025400000000001
2020-04-15,2020,4,15,Wednesday,15,2020-15,6.31,6.62,6.05,6.54,321100,6.54,0.007704189907274728,5.927857142857143,6.9902
2020-04-16,2020,4,16,Thursday,15,2020-15,6.63,6.87,6.29,6.48,266900,6.48,-0.009174303230812364,5.959285714285714,6.9538
2020-04-17,2020,4,17,Friday,15,2020-15,6.66,6.89,6.53,6.88,205500,6.88,0.061728409597230804,6.0042857142857144,6.916799999999999
