Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2019-10-04,2019,10,4,Friday,39,2019-39,291.14,294.63,291.08,294.35,65091200.0,286.6,0.01353209793816501,288.21999999999997,285.2534
2019-10-07,2019,10,7,Monday,40,2019-40,293.47,295.26,292.77,293.08,59610500.0,285.36,-0.004314818401643161,287.7707142857143,285.1064
2019-10-08,2019,10,8,Tuesday,40,2019-40,291.04,291.85,288.49,288.53,95708100.0,280.93,-0.015524602883058014,286.9921428571429,284.8816
2019-10-09,2019,10,9,Wednesday,40,2019-40,290.75,292.3,290.06,291.27,62359400.0,283.6,0.009496433012404104,286.4057142857143,284.7244
2019-10-10,2019,10,10,Thursday,40,2019-40,291.18,294.21,291.0,293.24,55296300.0,285.52,0.006763306233622313,286.055,284.6694
2019-10-11,2019,10,11,Friday,40,2019-40,296.27,298.74,296.14,296.28,98720400.0,288.48,0.010366996795618588,285.92071428571427,284.7238
2019-10-14,2019,10,14,Monday,41,2019-41,295.93,296.67,295.57,295.95,40394800.0,288.16,-0.001113728405776282,285.9264285714286,284.8148
2019-10-15,2019,10,15,Tuesday,41,2019-41,297.1,299.7,296.97,298.88,46754500.0,291.01,0.00990033789061151,286.0135714285714,285.1334
2019-10-16,2019,10,16,Wednesday,41,2019-41,298.37,299.16,297.92,298.4,48928200.0,290.54,-0.0016059332911627644,286.1107142857143,285.3654
2019-10-17,2019,10,17,Thursday,41,2019-41,299.68,300.24,298.52,299.28,45736600.0,291.4,0.002948981857606503,286.3807142857143,285.6114
2019-10-18,2019,10,18,Friday,41,2019-41,298.69,299.4,297.03,297.97,64304000.0,290.13,-0.004377163263916906,286.4642857142857,285.7224
2019-10-21,2019,10,21,Monday,42,2019-42,299.42,300.21,298.94,299.99,39048600.0,292.09,0.006779109051217258,286.93357142857144,285.9114
2019-10-22,2019,10,22,Tuesday,42,2019-42,300.58,300.9,298.91,299.01,48594700.0,291.14,-0.0032668491705726277,287.695,286.1502
2019-10-23,2019,10,23,Wednesday,42,2019-42,298.73,299.94,298.5,299.88,34352200.0,291.99,0.002909842878966673,288.35357142857146,286.31919999999997
2019-10-24,2019,10,24,Thursday,42,2019-42,300.91,301.07,299.46,300.37,35453100.0,292.46,0.001634023475003854,288.7721428571429,286.6652
2019-10-25,2019,10,25,Friday,42,2019-42,299.74,302.2,299.68,301.6,45205400.0,293.66,0.004094881288824848,289.365,287.0208
2019-10-28,2019,10,28,Monday,43,2019-43,302.94,303.85,302.91,303.3,42147000.0,295.32,0.005636480765059959,290.39285714285717,287.3282
2019-10-29,2019,10,29,Tuesday,43,2019-43,303.0,304.23,302.86,303.21,44284900.0,295.23,-0.0002967889849950778,291.22357142857146,287.5662
2019-10-30,2019,10,30,Wednesday,43,2019-43,303.43,304.55,301.99,304.14,49643900.0,296.13,0.0030673854152099,291.9814285714286,287.86560000000003
2019-10-31,2019,10,31,Thursday,43,2019-43,304.13,304.13,301.73,303.33,69053800.0,295.35,-0.0026633109745333172,292.47214285714284,288.1038
2019-11-01,2019,11,1,Friday,43,2019-43,304.92,306.19,304.74,306.14,71141500.0,298.08,0.009264024810425653,293.18071428571426,288.3982
2019-11-04,2019,11,4,Monday,44,2019-44,307.85,308.0,306.96,307.37,60606900.0,299.28,0.00401759995855655,293.7714285714286,288.86220000000003
2019-11-05,2019,11,5,Tuesday,44,2019-44,307.59,307.92,306.71,307.03,42933200.0,298.95,-0.0011061751760137462,294.3721428571429,289.2586
2019-11-06,2019,11,6,Wednesday,44,2019-44,307.03,307.4,306.06,307.1,46487100.0,299.02,0.0002279521151515862,294.9164285714286,289.6784
2019-11-07,2019,11,7,Thursday,44,2019-44,308.57,309.65,307.66,308.18,54272300.0,300.07,0.003516888392196549,295.6264285714286,290.08
2019-11-08,2019,11,8,Friday,44,2019-44,307.8,309.0,307.03,308.94,49032100.0,300.81,0.002466181661449074,296.2492857142857,290.4248
2019-11-11,2019,11,11,Monday,45,2019-45,307.42,308.54,307.27,308.35,35797300.0,300.23,-0.0019098378002402328,296.8985714285714,290.7606
2019-11-12,2019,11,12,Tuesday,45,2019-45,308.75,309.99,308.15,309.0,46484600.0,300.87,0.0021077384066510163,297.53285714285715,291.1422
2019-11-13,2019,11,13,Wednesday,45,2019-45,307.91,309.54,307.66,309.1,53917700.0,300.96,0.0003237726738500868,298.14,291.4618
2019-11-14,2019,11,14,Thursday,45,2019-45,308.79,309.64,308.09,309.55,51219900.0,301.4,0.0014557956576790598,298.6928571428571,291.7168
2019-11-15,2019,11,15,Friday,45,2019-45,311.02,311.84,310.26,311.79,62023600.0,303.58,0.007236401258039704,299.28285714285715,292.01099999999997
2019-11-18,2019,11,18,Monday,46,2019-46,311.53,312.28,311.03,312.02,49228000.0,303.81,0.0007375509749052434,299.8957142857143,292.3068
